heap_size,retry_rate,list_size,gc_cycle,total_bytes_allocated,total_time
9000000,8,large,32,144449456,83265623631
9000000,9,small,10,48108464,16617923097
9000000,9,medium,22,96233744,41119546846
9000000,9,large,32,144445808,83572794803
9000000,10,small,10,48106256,16577849162
9000000,10,medium,22,96227696,41301361014
9000000,10,large,32,144443792,83237069099
9000000,11,small,10,48107888,16599743238
9000000,11,medium,22,96232112,41100600171
9000000,11,large,32,144446384,83837935889
9000000,12,small,10,48105968,16540495056
9000000,12,medium,22,96225968,40945085948
9000000,12,large,32,144444080,83541820814
9000000,13,small,10,48108080,16552237735
9000000,13,medium,22,96226832,41032018769
9000000,13,large,32,144441296,83776908597
9000000,14,small,10,48107504,16576865373
9000000,14,medium,22,96225968,41135802623
9000000,14,large,32,144445424,83171597962
9000000,15,small,10,48108944,16587728738
9000000,15,medium,22,96225392,40957511344
9000000,15,large,32,144440624,83574936848
9000000,16,small,10,48107600,16552371130
9000000,16,medium,22,96229232,40779248346
9000000,16,large,32,144439952,83897194070
9000000,17,small,10,48107600,16613622844
9000000,17,medium,22,96226064,41475722894
9000000,17,large,32,144439568,83807429132
9000000,18,small,10,48105968,16653644870
9000000,18,medium,22,96232016,41334164241
9000000,18,large,32,144441296,83697533874
9000000,19,small,10,48105392,16642391423
9000000,19,medium,22,96227792,41253982720
9000000,19,large,32,144444848,83775462416
9000000,20,small,10,48105104,16555615078
9000000,20,medium,22,96225776,40861638921
9000000,20,large,32,144441680,83593274508
9000000,21,small,10,48104336,16639133367
9000000,21,medium,22,96225584,41058188603
9000000,21,large,32,144440912,83545038784
9000000,22,small,10,48108272,16540230171
9000000,22,medium,22,96225296,41273569434
9000000,22,large,32,144452432,83653932902
9000000,23,small,10,48107600,16535923484
9000000,23,medium,22,96227600,41010046022
9000000,23,large,32,144447152,84124334592
9000000,24,small,10,48108656,16706381958
9000000,24,medium,22,96226640,41007251683
9000000,24,large,32,144449936,84132403244
9000000,25,small,10,48108464,16694150716
9000000,25,medium,22,96228368,41362092390
9000000,25,large,32,144445424,83979437718
9000000,26,small,10,48107984,16652192397
9000000,26,medium,22,96227504,41370961503
9000000,26,large,32,144445136,83315287447
9000000,27,small,10,48109232,16607651660
9000000,27,medium,22,96227024,41190106980
9000000,27,large,32,144450320,83832626936
9000000,28,small,10,48107696,16503330709
9000000,28,medium,22,96227984,41211795727
9000000,28,large,32,144439184,83705065128
9000000,29,small,10,48106736,16658115822
9000000,29,medium,22,96230000,41465102424
9000000,29,large,32,144444272,83951880538
